Product,Value
10121000,86662083
10129900,5744700
10130000,7000
10391100,76716
10511110,1522157
10511190,8236383
10511990,258573
10512000,2311535
10513000,54242
10619000,182313
10620000,10947
10631000,32071
10632000,4229
10639800,3571
10641000,1071
10649000,288295
10690000,603119
20110000,2858769
20120200,83754
20120500,1280692
20120900,1668119
20130000,26869120
20210000,142163
20220100,325070
20220900,168212
20230100,528721
20230500,68637
20230900,3669825
20312110,1347947
20312900,11173
20319110,197585
20319130,1039717
20319150,885367
20319900,56349
20322110,132056
20322190,70361
20322900,86427
20329110,1175759
20329130,1259937
20329150,141568
20329550,1166395
20329590,4393324
20329900,828555
20410000,18321546
20422100,2987942
20422300,1509275
20422500,1024594
20422900,3594463
20423000,2688745
20430000,13336
20442300,53415
20442900,428098
20443100,1027517
20443900,125000
20450790,12593
20610100,16582
20610980,1808424
20621000,147567
20622000,202393
20629910,888726
20629990,1828371
20630000,576659
20649000,5195665
20690990,818429
20711100,142162
20712100,18701
20712900,126052
20713100,857486
20713300,531112
20713500,1236880
20714100,2206354
20714200,1478285
20714300,3143618
20714400,25430
20714500,429942
20714600,2873113
20714700,1224452
20714990,691007
20724900,39837
20725100,32601
20725900,33441
20726800,418782
20727100,273935
20727300,310652
20727400,83814
20727500,347138
20727600,370021
20727700,72313
20727800,170732
20727910,35453
20727990,81272
20745100,98177
20745410,136538
20745510,6143
20745610,7923
20745990,48839
20760810,1741
20810100,21507
20890300,982332
20890980,590801
20910110,451108
20910900,67385
21011110,209444
21011190,14844
21011310,5100
21011900,44510
21012190,106135
21019100,241676
21019400,1256804
21019500,2403597
21019810,34550
21019890,9830
21019900,4769
21099390,113460
30111000,95757
30211100,1949303
30211800,410771
30214000,43938613
30219000,136619
30221100,12917
30241000,232292
30251100,510926
30251900,39499
30252000,50830
30284100,205098
30289500,3170383
30290000,27693
30311000,6977
30312000,65596
30313000,2683483
30314900,10526
30319000,426790
30329000,87859
30333000,67458
30334000,51024
30354100,8813504
30355100,776015
30363100,208221
30368100,14671
30389100,49665
30389900,85065
30390900,97926
30431000,44331
30441000,3838167
30442100,740576
30444100,1248117
30453000,166898
30471100,800070
30471900,1531771
30472000,589310
30475000,282044
30479500,56363
30481000,243670
30489600,61537
30489900,47943
30491000,4906
30495290,68692
30495300,48727
30499210,166016
30499990,272523
30510000,169547
30531000,308097
30532900,30535
30539100,83193
30541000,6181968
30542000,56836
30543000,29860
30549300,44165
30551100,151546
30559500,23986
30559800,20626
30579000,19952
30611050,497017
30611100,360147
30612100,216896
30612900,25372
30614050,37825
30614100,29292
30614300,2461453
30614900,90627
30615900,4882324
30616990,177916
30617920,2044516
30617990,3672607
30619900,306875
30622100,6311704
30622910,30889
30624300,3732140
30624800,2612237
30626900,41307
30711100,949711
30711900,48581
30721000,14817267
30729050,5149
30729900,771349
30741100,1010480
30799170,1303541
40110100,329167
40110900,386746
40120110,720051
40120910,946694
40120990,16394196
40140100,4382
40150310,412547
40150390,1938194
40150910,508692
40210110,337217
40210190,2885914
40210910,71885
40210990,3355943
40221110,1813324
40221180,2870665
40229110,2098084
40229150,28124
40229910,16128
40299100,100632
40299310,9696
40299910,2044
40299990,2863633
40310110,228726
40310310,50426
40310330,7931
40310510,362325
40310530,648580
40310590,6645
40310910,947059
40310930,573502
40310990,232976
40390110,64073
40390190,292962
40390330,1313
40390710,122308
40390990,85867
40410020,1662585
40410040,136134
40410140,871755
40410340,1517
40410360,66414
40410580,905
40410840,15119
40490210,436621
40490290,3749
40490810,252679
40490830,56671
40510110,1083901
40510190,6882871
40520900,169318
40590900,934737
40610300,4084182
40610500,494799
40610800,8093341
40620000,1486515
40630100,1494273
40630310,921003
40630900,102568
40640900,1378882
40690010,373058
40690130,120205
40690210,19887037
40690320,86463
40690760,14827
40690810,1438250
40690840,215971
40690850,7371
40690890,322727
40690990,814990
40711000,4073432
40721000,290115
40790100,111824
40819890,139973
40900000,1987638
41000000,241587
50100000,3411
50210000,19270
50290000,138532
50400000,1813680
50510100,93280
50590000,698091
50690000,617405
50790000,6599
50800000,363361
51000000,44272
51110000,1170119
51191100,137970
51191900,108268
51199100,171466
51199310,133063
51199850,1428990
60110900,30410
60210100,14415
60220100,81463
60220800,20384
60240000,185631
60290480,1146
60290700,7645
60290990,92130
60315000,59452
60390000,738387
60420200,4117954
60490110,1176
60490910,21476
60490990,36055
70110000,12098957
70190100,11048
70190900,3461341
70200000,770076
70310190,126149
70320000,290302
70390000,90787
70420000,99390
70490100,128363
70490900,94881
70610000,673472
70690900,770423
70810000,205562
70890000,2277971
70930000,49496
70960100,486251
70960910,13704
70960990,690230
70991000,24828
70992100,4380
70993100,17239
70999500,4260
70999900,619253
71010000,186945
71021000,1037219
71080950,812269
71090000,950864
71190800,5542
71190900,59166
71233000,6877
71239000,9985
71290300,44692
71290500,33234
71290900,354142
71310100,144366
71310900,1121623
71320000,273413
71331000,398412
71333900,556272
71335000,16528
71340000,455951
71350000,2674729
71390000,1045937
80119000,149153
80121000,3179
80122000,801843
80132000,1326146
80211100,4495
80211900,45785
80212900,645686
80222000,500504
80232000,283657
80251000,33555
80252000,132543
80290100,221951
80290850,64916
80310100,1349339
80410000,178438
80420900,243757
80450000,159901
80510200,1104027
80540000,50802
80550900,92069
80590000,16825
80620100,57509
80620300,308136
80620900,387583
80810800,575311
80910000,36230
81020100,52305
81030300,4494
81040500,57998
81110900,39006
81120900,74020
81190190,14251
81190950,259560
81290980,79109
81310000,158388
81320000,118528
81340300,6629
81340950,280465
81350150,146442
81350190,7678
81350910,59271
81350990,134744
90111000,1728497
90112000,149515
90121000,20085358
90122000,412324
90190900,142190
90210000,1689913
90220000,211759
90230000,5831579
90240000,650219
90411000,408876
90412000,363273
90421100,30942
90422000,420368
90510000,298420
90520000,145331
90620000,80231
90831000,200186
90921000,26349
90931000,126808
90961000,59383
90962000,10845
91011000,80420
91012000,200104
91020900,2483
91030000,411093
91091050,259648
91091900,233961
91099390,25303
91099910,153480
91099990,1970050
100111000,1883
100199000,12759809
100290000,1030
100410000,70737
100490000,442229
100510900,2069
100610100,16838
100610230,7562
100620980,142149
100630670,434939
100630920,27801
100630940,67617
100630960,27373
100630980,3179583
100810000,7773
100890000,294044
110100110,138376
110100150,8965929
110100900,893
110220100,78528
110220900,104033
110290300,110562
110290900,159642
110319400,78688
110319500,652723
110412100,548905
110412900,4540053
110419100,33256
110419690,13665
110422400,93054
110422950,91165
110423980,1304848
110429050,28604
110430100,101826
110430900,61591
110510000,145457
110610000,339978
110620900,24910
110630900,231511
110710110,58577
110710190,152706
110710910,87049
110710990,5914714
110720000,1358724
110812000,231047
110819100,9444
110820000,15174
110900000,2984663
120242000,73003
120400900,3085462
120510100,31728
120600910,5610
120600990,30517
120721000,1758
120791100,146844
120791900,39516
120799910,34047
120799960,153752
120890000,133727
120910000,10819647
120922800,50200
120929450,59527
120929800,307464
120930000,810944
120991800,1371507
120999910,13435
120999990,44775
121010000,792803
121020100,224908
121020900,698163
121190860,2156193
121221000,330099
121229000,62156
121299490,90028
121299950,121208
121300000,486772
121490900,103708
130120000,832658
130190000,164671
130211000,20867
130212000,12271
130213000,1471984
130219050,40645
130219700,833858
130220100,181804
130231000,34997
130232900,240882
130239000,1548724
140420000,16694
140490000,164017
150190000,1012144
150410100,243634
150410990,1017679
150420100,14162
150420900,821694
150500100,2332
150500900,1795380
150710100,48259
150790900,695209
150810900,2866
150890900,22560
150910100,20601
150910900,228240
150990000,282332
151110900,4648
151190190,258171
151190910,3728
151190990,1254959
151211910,867293
151211990,5606
151219900,769776
151229900,6468
151311100,26677
151311990,136626
151319110,94801
151319910,91157
151319990,29277
151321300,1135
151411100,30020
151411900,124650
151419100,819840
151419900,1089869
151491900,4098948
151499100,10222
151499900,1135183
151511000,14222
151519900,82125
151529900,192345
151530900,46878
151550190,29170
151550990,323531
151590110,22578
151590210,58079
151590400,56854
151590590,1028483
151590600,624897
151590990,596746
151610900,173004
151620100,27910
151620910,18310
151620960,45905
151620980,1096779
151710100,68387
151710900,1544265
151790100,71132
151790910,1763826
151790990,1586186
151800100,1106
151800310,1760
151800390,7725
151800910,841195
151800990,91650
152000000,194307
152110000,197850
152190910,50660
152190990,83589
152200910,4060
160100100,42580
160100910,411358
160100990,944008
160220900,125845
160231190,319711
160232190,5420705
160232300,1610497
160232900,719402
160239210,261122
160239290,845943
160239850,113895
160241100,575898
160241900,18344
160242100,52736
160242900,264907
160249110,73279
160249150,33573
160249190,186510
160249300,204729
160250100,541196
160250310,243852
160250950,1745976
160290310,5770
160290510,25233
160290610,6765
160290910,63767
160290990,96049
160411000,466218
160412910,16845
160412990,20119
160413190,673543
160413900,31903
160414210,327518
160415110,159191
160416000,37680
160417000,25376
160419910,1935475
160419920,423977
160419970,173748
160420100,262597
160420700,115009
160420900,446095
160432000,10828
160510000,1197342
160521100,245812
160529000,75597
160552000,1520
160554000,82122
160559000,1347001
160569000,100539
170113900,102235
170114900,636751
170191000,251822
170199100,3556227
170199900,156270
170211000,879998
170219000,64328
170220100,10977
170220900,111964
170230100,27084
170230500,31492
170230900,407150
170250000,38176
170290500,62001
170290790,418470
170290950,568232
170310000,886084
170390000,222671
170410100,466469
170410900,750163
170490100,134146
170490300,1709200
170490510,496737
170490550,1121028
170490610,520190
170490650,2844294
170490710,1007847
170490750,1491528
170490810,753799
170490990,3603096
180100000,143177
180320000,333158
180400000,2690159
180500000,556944
180610150,331586
180610200,644900
180610300,453687
180610900,55412
180620100,573179
180620300,785405
180620700,1888459
180620800,409330
180620950,625330
180631000,4960701
180632100,2187939
180632900,4926902
180690110,180510
180690190,9947421
180690310,3645746
180690390,1713778
180690500,1275899
180690600,510222
180690700,4507806
180690900,5764643
190110000,2117756
190120000,6956825
190190110,1244750
190190190,1596005
190190910,59347
190190990,8157627
190211000,321666
190219100,170198
190219900,278198
190220910,511663
190230100,1344332
190230900,1055808
190240100,22336
190240900,367695
190300000,29358
190410100,4007985
190410300,5850872
190410900,14065777
190420100,2271985
190420910,231964
190420950,33965
190420990,1857845
190430000,15138
190490100,1421122
190490800,2662572
190510000,2196820
190520100,378178
190520300,1108606
190520900,81354
190531110,1216337
190531190,7172419
190531300,3186509
190531910,1657612
190531990,10123952
190532050,115147
190532110,2342258
190532190,577026
190532910,74438
190532990,264959
190540100,529649
190540900,381190
190590100,299059
190590200,13238
190590300,9504762
190590450,3735685
190590550,3856367
190590600,12503621
190590900,10636335
200110000,28779
200190100,254522
200190200,131906
200190300,4837
200190400,5034
200190650,55797
200190700,39805
200190970,776778
200210100,272775
200210900,184679
200290110,5221
200390100,9309
200410100,1715310
200410910,159998
200410990,1992739
200490100,2651
200490500,24930
200490910,11755
200490980,845466
200510000,414429
200520100,124167
200520200,7803727
200520800,5204766
200540000,260302
200551000,2768918
200559000,268841
200570000,133185
200580000,486237
200591000,22279
200599100,25088
200599200,14663
200599300,3601
200599500,1514105
200599800,967951
200600100,291282
200600310,31539
200600380,78707
200710100,394708
200710910,37123
200710990,67849
200791100,686767
200791300,42127
200791900,56810
200799310,28158
200799330,458210
200799350,246108
200799390,481841
200799970,738844
200811100,1128591
200811910,450916
200811960,350030
200811980,572066
200819120,138038
200819190,441102
200819920,94640
200819930,258015
200819950,108039
200819990,192639
200820710,1110
200820900,262295
200830590,19466
200860190,17510
200860500,18787
200880500,48004
200893110,19527
200893990,105187
200897030,12491
200897120,102964
200897140,25917
200897320,22642
200897720,9633
200897780,393176
200897980,57046
200899190,5929
200899340,5365
200899450,5152
200899490,169637
200899670,76969
200899990,363120
200911110,20538
200911990,18850
200912000,1868848
200919110,22113
200919190,810193
200919980,267339
200931510,10232
200939110,31639
200939190,12849
200939390,42269
200941920,2377
200941990,96494
200949990,4703
200950900,7444
200961900,16782
200969510,692200
200971990,232416
200979110,12017
200981110,1229
200981190,41389
200981310,35443
200989340,37840
200989360,9515
200989690,1365
200989790,628211
200989850,8846
200989860,3670
200989890,52253
200989960,5714
200989970,22501
200989990,395030
200990190,128851
200990510,23782
200990590,2027874
200990710,7337
200990790,105747
200990920,18240
200990940,17541
200990960,34224
200990980,259600
210111000,15108069
210112920,4513143
210112980,71031
210120200,495434
210120920,279736
210120980,1454023
210130990,82412
210210100,423986
210210310,736634
210210390,379860
210210900,745123
210220110,301959
210220190,3036839
210220900,53880
210230000,104410
210310000,708988
210320000,2668465
210330100,260008
210330900,375808
210390100,209368
210390300,97397
210390900,24074623
210410000,3261513
210420000,2535022
210500100,3730376
210500910,365651
210500990,1351426
210610200,6942280
210610800,11574906
210690200,14718
210690300,169836
210690510,10804
210690550,95258
210690590,1295364
210690920,35340050
210690980,37906871
220110110,2803375
220110190,387615
220110900,65548
220190000,637241
220210000,23369941
220290110,990949
220290150,1057598
220290190,5316069
220290910,1033296
220290950,87265
220290990,255812
220300010,21087030
220300090,32188587
220300100,2808012
220410110,1965518
220410910,81136
220410930,372126
220410940,13977
220410960,108047
220410980,295781
220421060,31002
220421070,2857
220421090,43783
220421110,71304
220421120,320594
220421130,1291761
220421170,116113
220421180,22811
220421220,3484
220421270,1847
220421280,15667
220421320,30782
220421360,5715
220421380,371836
220421420,15913111
220421430,4598287
220421440,8923
220421460,384508
220421470,14188
220421480,7002
220421620,801665
220421660,694252
220421680,23611
220421690,10705
220421760,193605
220421780,1044117
220421790,699919
220421800,928228
220421810,47502
220421820,310085
220421830,103165
220421840,665118
220421850,188074
220421860,207245
220421890,161869
220421900,13505
220421930,224478
220421940,265567
220421950,681246
220421960,2701012
220421970,1809228
220421980,4452315
220429100,69808
220429120,2645
220429130,1232
220429420,273440
220429430,68664
220429460,1001
220429580,19972
220429800,32263
220429810,6483
220429830,5448
220429840,2805
220429860,17200
220429890,74811
220429970,1670562
220429980,2898645
220430980,89112
220510100,38269
220600100,25072
220600310,628438
220600390,536076
220600510,1370128
220600590,648574
220600810,377525
220600890,158447
220710000,26249183
220720000,281044
220820120,1277230
220820140,6955
220820260,1105
220820270,92159
220820290,501289
220820620,3562
220820870,2456
220830110,1465989
220830190,21211
220830300,79902904
220830410,7261242
220830490,7125480
220830610,286182
220830690,3842481
220830710,250512017
220830790,8551174
220830820,6536998
220840110,1609460
220840310,134178
220840390,1196913
220840510,322878
220850110,36534757
220850190,295412
220860110,13567623
220860190,131515
220860910,171312
220860990,6820
220870100,12076499
220870900,1067
220890110,86280
220890330,1204
220890450,2081
220890540,388267
220890560,139248
220890690,21091100
220890770,178959
220890780,45107
220890910,12341
220890990,541720
220900110,37040
220900910,210125
220900990,246959
230110000,4549714
230120000,6166942
230310110,243969
230330000,1412151
230700110,1778
230800900,578813
230910110,9596737
230910130,111116
230910190,636666
230910310,3969022
230910330,56472
230910510,5684272
230910700,64999
230910900,6804789
230990100,5918343
230990200,1114319
230990310,27187542
230990330,114741
230990350,325884
230990390,27412
230990410,2506521
230990510,3168500
230990530,744471
230990700,1954379
230990910,136230
230990960,16346556
240110350,5298
240210000,221719
240220900,164533
240290000,296638
240319100,2344088
240319900,1285405
240399100,78470
240399900,6184229
250100100,269491
250100310,19115
250100510,277182
250100910,1751519
250100990,1249395
250200000,512684
250300900,229273
250410000,211796
250490000,59409
250510000,571826
250590000,626367
250610000,117384
250700200,7874079
250700800,3206302
250810000,780142
250830000,76417
250840000,573388
250870000,28068
250900000,299756
251020000,11146
251110000,27291
251120000,7996
251200000,28662
251310000,31887
251320000,176664
251400000,92984
251512000,43567
251520000,71221
251612000,158057
251690000,16944
251710100,1214057
251710200,185428
251710800,1139015
251730000,278723
251810000,19015
251910000,83702
251990100,546009
251990300,138619
251990900,26833
252010000,105558
252020000,667739
252100000,119139
252210000,4190
252220000,1268804
252230000,155877
252321000,3696
252329000,794322
252330000,3374185
252390000,86569
252520000,333323
252620000,118747
252800000,18549
252921000,6778
252922000,554164
253090000,1741237
260120000,1986
260300000,950
260500000,51275
260600000,192210
260800000,528027
260900000,266283
261100000,825265
261390000,1889
261510000,196741
261610000,38500
261800000,142007
261900200,80783
262011000,463724
262029000,78211
262030000,271608
262099100,7444056
262110000,313755
262190000,175724
270111000,725789
270112900,3524419
270119000,6654
270300000,206515
270400900,22189
270710000,17972
270730000,68307
270740000,16035
270750000,8635181
270791000,2568
270799190,2480
270799500,2582
270799800,15489
270799990,1387680
270900100,11631515
270900900,1159374079
271012110,18826031
271012150,30929
271012210,6442195
271012250,32768070
271012310,41977
271012410,204423256
271012450,72595505
271012490,34787003
271012700,56600
271012900,94679304
271019110,42629
271019150,18143
271019210,2245532
271019250,8585896
271019290,666162
271019310,100121
271019350,2680571
271019430,26591722
271019480,46857867
271019620,7196
271019710,471913
271019810,5191763
271019830,1037226
271019850,150885
271019870,975591
271019910,340994
271019930,568417
271019990,17695000
271020310,12928
271020900,107077
271099000,441015
271112970,5798916
271113970,21358822
271114000,11964288
271119000,1401149
271129000,331114
271210100,50684
271210900,434142
271220100,132134
271220900,79074
271290190,29531
271290390,4127
271290990,1507047
271390900,48661
271410000,12720
271490000,15137
271500000,1148529
280110000,7588
280120000,160202
280130100,65390
280130900,279448
280300000,345525
280410000,16697
280421000,119464
280429100,572912
280429900,51314
280430000,120139
280440000,31285
280450900,3775
280461000,1439264
280469000,198607
280470000,3997
280490000,120503
280511000,2244
280519100,850
280519900,2901
280530100,38225
280530200,11981
280530300,3738
280610000,63315
280700000,553644
280800000,125512
280920000,140949
281000900,3448
281111000,143045
281119800,94140
281121000,80928
281122000,5123314
281129050,14691
281129300,459524
281129900,54416
281210110,40506
281290000,3130
281390900,132782
281410000,5198863
281420000,172503
281520000,38717
281530000,179346
281610000,44396
281700000,305010
281810110,91696
281810190,28892
281810910,435801
281820000,183952
281830000,9768
281990900,22566
282090900,88444
282110000,543154
282120000,5450
282200000,1491967
282300000,381951
282410000,7398
282520000,54447
282530000,4094
282540000,7278
282550000,180107
282560000,1757104
282570000,2409
282580000,72833
282590110,108492
282590190,79068
282590400,1949
282619900,14428
282630000,111685
282690100,21470
282690800,72348
282710000,36735
282720000,27540
282731000,13501
282732000,202004
282735000,1083
282739100,87930
282739300,20532
282739850,725610
282749900,120136
282751000,43708
282759000,387197
282760000,486895
282810000,83500
282890000,584127
282911000,71635
282919000,2378
282990800,433856
283090110,2196
283090850,21510
283190000,16859
283210000,69499
283220000,171013
283319000,24769
283321000,41467
283322000,104476
283325000,83412
283327000,14607
283329200,26131
283329300,40736
283329800,242870
283340000,6880
283429800,297873
283510000,25761
283522000,56850
283524000,74194
283525000,181518
283526000,955811
283529900,182376
283539000,403998
283640000,89214
283650000,1735298
283691000,38761
283699110,26157
283699170,570644
283699900,176946
283711000,882
283720000,2173
283911000,10258
283919000,44414
283990000,216739
284011000,7128
284020900,125168
284150000,12091
284169000,1838
284170000,132917
284190850,190018
284210000,1581805
284290100,35596
284290800,206600
284310100,75346
284310900,73997
284321000,3462597
284329000,1120584
284330000,1495323
284390900,16457386
284430190,294616
284440200,32556
284440300,3018477
284440800,440634
284590100,720681
284590900,133537
284610000,98619
284690100,339457
284690200,96209
284700000,407705
284920000,27117
284990100,7586
284990300,154499
284990500,10779
284990900,3545
285000200,95431
285000900,208512
285300100,259246
285300300,194931
290110000,254343
290121000,66821100
290123000,17919
290124000,5287873
290129000,7074509
290211000,10751679
290219000,218981
290220000,24337607
290230000,1890728
290241000,12764373
290244000,30769
290270000,3107
290290000,556595
290319000,2969
290322000,33175
290323000,222280
