COM_CODE3,Company HMRC Ref,Month
854442100,59,2016-01-01
853590000,80,2016-01-01
481720000,23,2016-01-01
902110100,48,2016-01-01
853710910,129,2016-01-01
940540910,18,2016-01-01
330300100,67,2016-01-01
330499000,239,2016-01-01
841350800,19,2016-01-01
,2216,2016-01-01
392350900,53,2016-01-01
482110100,87,2016-01-01
482110900,43,2016-01-01
580421900,4,2016-01-01
580710100,37,2016-01-01
580890000,20,2016-01-01
600192000,10,2016-01-01
600410000,23,2016-01-01
600610000,8,2016-01-01
600621000,3,2016-01-01
600632900,8,2016-01-01
600690000,20,2016-01-01
960621000,20,2016-01-01
960719000,13,2016-01-01
850440300,115,2016-01-01
230990910,5,2016-01-01
870390900,11,2016-01-01
903289000,199,2016-01-01
920999200,13,2016-01-01
920999400,2,2016-01-01
420310000,70,2016-01-01
610120100,56,2016-01-01
610413000,31,2016-01-01
610443000,60,2016-01-01
610444000,40,2016-01-01
610449000,43,2016-01-01
610620000,27,2016-01-01
610721000,10,2016-01-01
610821000,16,2016-01-01
620212100,24,2016-01-01
620213900,15,2016-01-01
620431000,25,2016-01-01
620432900,27,2016-01-01
620433900,32,2016-01-01
620441000,20,2016-01-01
620442000,93,2016-01-01
620443000,115,2016-01-01
620444000,61,2016-01-01
620452000,41,2016-01-01
620453000,44,2016-01-01
620462390,31,2016-01-01
620463180,32,2016-01-01
620469110,12,2016-01-01
620469180,22,2016-01-01
620520000,93,2016-01-01
620610000,33,2016-01-01
620620000,7,2016-01-01
620630000,69,2016-01-01
620640000,66,2016-01-01
621010100,140,2016-01-01
621111000,19,2016-01-01
621143900,31,2016-01-01
630710100,14,2016-01-01
640212100,24,2016-01-01
640359990,25,2016-01-01
900410910,25,2016-01-01
854420000,72,2016-01-01
840820100,7,2016-01-01
847149000,137,2016-01-01
847170500,90,2016-01-01
847190000,287,2016-01-01
903039000,40,2016-01-01
580632900,14,2016-01-01
970600000,223,2016-01-01
731822000,65,2016-01-01
732393000,25,2016-01-01
711620110,11,2016-01-01
710691000,10,2016-01-01
321410100,54,2016-01-01
390791100,7,2016-01-01
847490900,103,2016-01-01
870899970,678,2016-01-01
681510100,38,2016-01-01
681510900,16,2016-01-01
761699900,132,2016-01-01
880330000,515,2016-01-01
844399900,121,2016-01-01
900691000,16,2016-01-01
852580190,75,2016-01-01
900659000,11,2016-01-01
950300290,6,2016-01-01
853610100,374,2016-01-01
900610000,25,2016-01-01
900720000,8,2016-01-01
900791000,31,2016-01-01
902519200,44,2016-01-01
842230000,30,2016-01-01
901510100,18,2016-01-01
854390000,207,2016-01-01
847410000,48,2016-01-01
851762000,489,2016-01-01
732690980,343,2016-01-01
392610000,99,2016-01-01
940599000,83,2016-01-01
392640000,20,2016-01-01
871690100,4,2016-01-01
871690900,40,2016-01-01
320810100,22,2016-01-01
320820900,28,2016-01-01
320910000,40,2016-01-01
390730000,48,2016-01-01
481190000,22,2016-01-01
560790900,11,2016-01-01
580632100,16,2016-01-01
850300990,98,2016-01-01
853225000,13,2016-01-01
854411100,88,2016-01-01
854449930,36,2016-01-01
854449950,61,2016-01-01
320890190,16,2016-01-01
320890910,46,2016-01-01
340220900,53,2016-01-01
340530000,10,2016-01-01
340590100,11,2016-01-01
350610000,33,2016-01-01
350691000,70,2016-01-01
381400900,45,2016-01-01
382490700,15,2016-01-01
390890000,10,2016-01-01
391729000,32,2016-01-01
391910800,52,2016-01-01
391990000,117,2016-01-01
392010280,9,2016-01-01
392190100,17,2016-01-01
392690970,624,2016-01-01
481141900,15,2016-01-01
630790980,91,2016-01-01
650610800,14,2016-01-01
680520000,8,2016-01-01
680530000,17,2016-01-01
760719900,5,2016-01-01
760720900,8,2016-01-01
761290200,9,2016-01-01
790700000,15,2016-01-01
842139800,49,2016-01-01
842199000,158,2016-01-01
842490000,99,2016-01-01
846799000,36,2016-01-01
848180990,211,2016-01-01
850440820,33,2016-01-01
850730200,14,2016-01-01
850750000,6,2016-01-01
850760000,33,2016-01-01
854690900,18,2016-01-01
901841000,7,2016-01-01
902000000,54,2016-01-01
292129000,12,2016-01-01
292910000,8,2016-01-01
300490000,238,2016-01-01
321490000,46,2016-01-01
390720200,7,2016-01-01
292250000,9,2016-01-01
300420000,27,2016-01-01
300432000,11,2016-01-01
702000800,32,2016-01-01
300590990,38,2016-01-01
391910120,44,2016-01-01
391910150,10,2016-01-01
392010400,11,2016-01-01
392020800,13,2016-01-01
392119000,29,2016-01-01
392190600,23,2016-01-01
392190900,43,2016-01-01
400690000,19,2016-01-01
481141200,5,2016-01-01
482369900,17,2016-01-01
560312900,9,2016-01-01
560313900,9,2016-01-01
