Opportunity URL,Summary,Partner expertise sought,Description,Advantages and innovations,Development stage,Intellectual Property Rights (IPR),Heading,Country,Country Profile URL,Supplier or Buyer,Name,Import or Export,Slug,Other Site Reference,Verified By,URL Image Link,Contract Value
https://www.enterprise-europe.co.uk/opportunities/BORO20161010001,"Romanian company that has emerged in 2006 from uniting a local group of 
well known engineering and IT professionals to provide a unique service to 
the shipbuilding and the offshore sector, offers specialized services such 
as: - design and consultancy in shipbuilding and offshore (functional, 
basic, class and detail design including production information and “as 
built” documentation); - services for shipyards, ship owners and other 
customers: design implementation, project management, assessment and 
production consultancy oriented to design customization and support 
procedures within the shipyards, technical assistance and consultancy for 
the early stages of a project, budgeting and bids review for ship owners; - 
research and development: - Further details regarding the consultancy 
services and technical assistance in ship design: - Assistance provided to 
customers and Classification Societies during the documentation approval 
process. - Assistance in choosing the equipment suppliers. - Assistance and 
consulting in project management, research and development studies, 
hydrodynamic calculations and towing tank tests, stability studies and 
calculations, structural analysis, evaluations of projects, sea trials, 
etc. Also an important activity is the IT technical assistance (integrated 
ship design CAD systems management, configuration and customization) based 
on the large experience of our specialists in providing such kind of 
services worldwide. The Romanian company offers its subcontracting services 
to foreign companies interested in the naval design and consultancy.","The Romanian company is interested in cooperation with companies involved 
in shipbuilding engineering or naval transportation activity.","Romanian company that has emerged in 2006 from uniting a local group of 
well known engineering and IT professionals to provide a unique service to 
the shipbuilding and the offshore sector, offers specialized services such 
as: - design and consultancy in shipbuilding and offshore (functional, 
basic, class and detail design including production information and “as 
built” documentation); - services for shipyards, ship owners and other 
customers: design implementation, project management, assessment and 
production consultancy oriented to design customization and support 
procedures within the shipyards, technical assistance and consultancy for 
the early stages of a project, budgeting and bids review for ship owners; - 
research and development: - Further details regarding the consultancy 
services and technical assistance in ship design: - Assistance provided to 
customers and Classification Societies during the documentation approval 
process. - Assistance in choosing the equipment suppliers. - Assistance and 
consulting in project management, research and development studies, 
hydrodynamic calculations and towing tank tests, stability studies and 
calculations, structural analysis, evaluations of projects, sea trials, 
etc. Also an important activity is the IT technical assistance (integrated 
ship design CAD systems management, configuration and customization) based 
on the large experience of our specialists in providing such kind of 
services worldwide. The Romanian company offers its subcontracting services 
to foreign companies interested in the naval design and consultancy.","The Romanian company offers full package design, full management support to 
consultancy at all levels and, furthermore it develops IT solutions 
specifically targeted to ease the life of its customers through the design 
and production stages.",Already on the market,,Romanian ship design and naval support company offers subcontracting services to EU companies in this field of activity,Romania,http://www.tradeaccelerator.co.uk/country-guide/import-export-to-Romania,Supplier,OP10101,Import,Import-OP10101-Supplier-from-Romania,BORO20161010001,Enterprise Europe Network,Alibaba Alternative Supplier from Romania,Value Unknown
https://www.enterprise-europe.co.uk/opportunities/BOAL20161005001,"Founded in Tirane, in 2008, it is an Albanian company, which operates in 
providing electrical engineering services, mainly in the domestic market. 
The company's main services range from the simple task of installing a 
light switch to more challenging projects, such as: • Electrical 
Installation/ Indoor & Outdoor; • Electrical Power Lines (MV & LV) and 
Substations; • Rooftop Antenna Installation (3-11m); • Greenfield Antenna 
Installation ( ST 36m; TP 42-48m); • Electric facilities, telephone and TV 
Installations; • General Power System & Electrical Refurbishment; • UPS and 
Security systems; • Earthing and bonding; • ACU; The company also carries 
out routine maintenance to existing electrical installations.The company's 
experience in these fields enables them to provide a service which meets 
the most demanding schedules and achieve a high quality installation. The 
company is thrilled to have a staff with several years of experience in the 
discipline of engineering, as the Civil and the Electrical & 
Communications, with whom it has established a full relationship and a 
mutual assistance and cooperation. During the past years the company has 
successfully completed projects for well-known companies such as: - 
Intracom Telecom Albania s.a - Plus communication s.a - Huawei Albania s.a 
- K.D & SIA ANION E.E, Branch of Albania - MANE TCI s.a - Energy B s.a - 
Egnatia o s.a - LIN Construction L.T.D - TREMA Engineering 2 L.T.D, since 
November 2012 for the execution of electrical installation in 4 buildings 
for “Fier Detention” project; - Rossman & Lala - LINDNER Bulgaria food, 
Albania branch, which they have recently worked in the project of Tirana 
Business Park Complex starting from LV & MV electrical installations, MV 
cabling and switchboards to normal and emergency lighting, general power 
systems, earthing and bonding, lighting protection, general electrical 
refurbishment etc - Euroteorema, which the company is constructing a 9km MV 
Power Line 6kV in Gramsh city in Albania. Now the company wants to conclude 
a subcontracting and services agreement with foreign partners interested on 
electrical engineering services.",Not available,"Founded in Tirane, in 2008, it is an Albanian company, which operates in 
providing electrical engineering services, mainly in the domestic market. 
The company's main services range from the simple task of installing a 
light switch to more challenging projects, such as: • Electrical 
Installation/ Indoor & Outdoor; • Electrical Power Lines (MV & LV) and 
Substations; • Rooftop Antenna Installation (3-11m); • Greenfield Antenna 
Installation ( ST 36m; TP 42-48m); • Electric facilities, telephone and TV 
Installations; • General Power System & Electrical Refurbishment; • UPS and 
Security systems; • Earthing and bonding; • ACU; The company also carries 
out routine maintenance to existing electrical installations.The company's 
experience in these fields enables them to provide a service which meets 
the most demanding schedules and achieve a high quality installation. The 
company is thrilled to have a staff with several years of experience in the 
discipline of engineering, as the Civil and the Electrical & 
Communications, with whom it has established a full relationship and a 
mutual assistance and cooperation. During the past years the company has 
successfully completed projects for well-known companies such as: - 
Intracom Telecom Albania s.a - Plus communication s.a - Huawei Albania s.a 
- K.D & SIA ANION E.E, Branch of Albania - MANE TCI s.a - Energy B s.a - 
Egnatia o s.a - LIN Construction L.T.D - TREMA Engineering 2 L.T.D, since 
November 2012 for the execution of electrical installation in 4 buildings 
for “Fier Detention” project; - Rossman & Lala - LINDNER Bulgaria food, 
Albania branch, which they have recently worked in the project of Tirana 
Business Park Complex starting from LV & MV electrical installations, MV 
cabling and switchboards to normal and emergency lighting, general power 
systems, earthing and bonding, lighting protection, general electrical 
refurbishment etc - Euroteorema, which the company is constructing a 9km MV 
Power Line 6kV in Gramsh city in Albania. Now the company wants to conclude 
a subcontracting and services agreement with foreign partners interested on 
electrical engineering services.","The company has got approximately 20 directly employed staff and 
operatives. Over the years it has created a talented and committed staff 
and workforce to ensure that each contract is carried out efficiently and 
profitably. By working closely with the customers, it is able to ensure 
that the task or project is completed on time and on budget, using the 
highest quality products available. They also advise their customers of any 
cost saving measure that can be utilized and can assist with any safety 
requirements. Relationships that the company has established with its 
long-term and repeat business customers have been built over many years of 
quality and reliable service. By taking time to understand customer 
individual requirements they provide them with the best solution based on 
the own technical knowledge and experience.",Already on the market,"Design Rights,Trade Marks,Copyright,Other",An electrical engineering company seeks for SMEs interested in having subcontracting and services agreement,Albania,http://www.tradeaccelerator.co.uk/country-guide/import-export-to-Albania,Supplier,OP10102,Import,Import-OP10102-Supplier-from-Albania,BOAL20161005001,Enterprise Europe Network,Alibaba Alternative Supplier from Albania,Value Unknown
https://www.enterprise-europe.co.uk/opportunities/BRQA20171019001,"This Qatari paper factory, established in 2001, is a division of a group of 
companies that specializes in the manufacture of recycled Kraft paper. Till 
2005, the company was producing high quality 127 gsm (grams per sq. m) 
fluting and 150 gsm testliner later switching over to higher gsm paper, 
called as unbleached core board due to vast demand in the GCC market. This 
company is the only producer in Qatar who can produce up to 400 gsm. The 
Company has a state-of-the-art facility in Old Industrial Area with a 
current production capacity of 25,000 tons per annum with a workforce of 
250 employees including the collection of waste discarded cartons. A new 
production line produces 300 tons per day (94,000 per annum) of high 
quality fluting, test liner and unbleached core board starting from 100 gsm 
to 400 gsm to cater to the local as well as the GCC market. The 
manufactured products are : • Unbleached core board paper (higher gsm) • 
Available weight from 250 to 400 gsm or 0.03 to 0.5 mm thickness • Reel 
diameter 130 cm and reel width 180 cm • Fluting and test liner from 100 to 
200 gsm • Reel diameter 130 cm and reel width 4.06 meter • Recycled Kraft 
paper The company is looking for traders and wholesalers that will supply 
the company with discarded corrugated cardboards in the frame of a service 
agreement.","The company looks for quality OINP (Over Issue Newspaper)- OCC (Old 
Corrugated Containers) waste or scrap papers that will be used as raw 
materials.","This Qatari paper factory, established in 2001, is a division of a group of 
companies that specializes in the manufacture of recycled Kraft paper. Till 
2005, the company was producing high quality 127 gsm (grams per sq. m) 
fluting and 150 gsm testliner later switching over to higher gsm paper, 
called as unbleached core board due to vast demand in the GCC market. This 
company is the only producer in Qatar who can produce up to 400 gsm. The 
Company has a state-of-the-art facility in Old Industrial Area with a 
current production capacity of 25,000 tons per annum with a workforce of 
250 employees including the collection of waste discarded cartons. A new 
production line produces 300 tons per day (94,000 per annum) of high 
quality fluting, test liner and unbleached core board starting from 100 gsm 
to 400 gsm to cater to the local as well as the GCC market. The 
manufactured products are : • Unbleached core board paper (higher gsm) • 
Available weight from 250 to 400 gsm or 0.03 to 0.5 mm thickness • Reel 
diameter 130 cm and reel width 180 cm • Fluting and test liner from 100 to 
200 gsm • Reel diameter 130 cm and reel width 4.06 meter • Recycled Kraft 
paper The company is looking for traders and wholesalers that will supply 
the company with discarded corrugated cardboards in the frame of a service 
agreement.",Not available,Not available,Not available,Qatari manufacturer of recycled Kraft paper is looking for suppliers of waste corrugated cardboard within a service agreement.,Qatar,http://www.tradeaccelerator.co.uk/country-guide/import-export-to-Qatar,Buyer,OP10103,Export,Export-OP10103-Buyer-from-Qatar,BRQA20171019001,Enterprise Europe Network,Alibaba Alternative Buyer from Qatar,Value Unknown
https://www.enterprise-europe.co.uk/opportunities/BRHR20170922001,"Croatian company established in 2002 has core business branch in production 
of traditional Mediterranean delicatessen products such as: olives, olive 
oil, traditional sweets, cookies, jams and liqueurs. Since 2013 company 
start production of natural food supplements where they use production 
processes like lyophilization for preserving bio-active components. Company 
is developing new product and they are looking for manufacturer of small 
production line or prototype line that is capable to meet demands in line 
of volume of packaging (up to 30 ml) and that is possible to manual filling 
of doypack pouch. Company is looking for manufacturer of small production 
lines or manufacturer of prototype production lines. The role of the 
partner sought is to manufacture and deliver products according to company 
requests.","- Production line filling volume should be up to 30 ml. - Production line 
should have option for manual filling.","Croatian company established in 2002 has core business branch in production 
of traditional Mediterranean delicatessen products such as: olives, olive 
oil, traditional sweets, cookies, jams and liqueurs. Since 2013 company 
start production of natural food supplements where they use production 
processes like lyophilization for preserving bio-active components. Company 
is developing new product and they are looking for manufacturer of small 
production line or prototype line that is capable to meet demands in line 
of volume of packaging (up to 30 ml) and that is possible to manual filling 
of doypack pouch. Company is looking for manufacturer of small production 
lines or manufacturer of prototype production lines. The role of the 
partner sought is to manufacture and deliver products according to company 
requests.",Not available,Not available,Not available,Croatian SME is looking for a manufacturer of small production line for filling of doypack pouch.,Croatia,http://www.tradeaccelerator.co.uk/country-guide/import-export-to-Croatia,Buyer,OP10104,Export,Export-OP10104-Buyer-from-Croatia,BRHR20170922001,Enterprise Europe Network,Alibaba Alternative Buyer from Croatia,Value Unknown
https://www.enterprise-europe.co.uk/opportunities/BOTR20170622001,"The Turkish company from Ankara has been founded in 1997. Its main focus 
was to manufacture laboratory equipment especially for dental laboratory 
requirements. Nowadays different product range including some test cabinets 
and quality control automation systems are designed and manufactured under 
their own label. The company has its own R&D department and all 
technologies and designs are developing within company. The company also 
provides OEM for its clients. Their products are; - infrared acrylic 
furnace / thermoforming oven (IR furnace) - induction application / 
induction casting machine - other laboratory equipment: distilled water 
device, laboratory mill, sand blasting unit and vibrator - fume hood, glove 
box, dust leakage test, chemical storage, furnace rack system The company 
has been already engaged in international activities. The company has 
distributors in Europe (Germany), Middle East and Asia. The company wants 
to expand its market especially in Europe. The company offers its infrared 
acrylic furnace / thermoforming oven (IR furnace) product under 
distribution services agreement. This product can be used in production of 
prosthesis in medical sector and production of table, bench and stand in 
furniture sector. So the company is looking for distributors working with 
medical sector and furniture sector.",Not available,"The Turkish company from Ankara has been founded in 1997. Its main focus 
was to manufacture laboratory equipment especially for dental laboratory 
requirements. Nowadays different product range including some test cabinets 
and quality control automation systems are designed and manufactured under 
their own label. The company has its own R&D department and all 
technologies and designs are developing within company. The company also 
provides OEM for its clients. Their products are; - infrared acrylic 
furnace / thermoforming oven (IR furnace) - induction application / 
induction casting machine - other laboratory equipment: distilled water 
device, laboratory mill, sand blasting unit and vibrator - fume hood, glove 
box, dust leakage test, chemical storage, furnace rack system The company 
has been already engaged in international activities. The company has 
distributors in Europe (Germany), Middle East and Asia. The company wants 
to expand its market especially in Europe. The company offers its infrared 
acrylic furnace / thermoforming oven (IR furnace) product under 
distribution services agreement. This product can be used in production of 
prosthesis in medical sector and production of table, bench and stand in 
furniture sector. So the company is looking for distributors working with 
medical sector and furniture sector.","IR acrylic furnaces are used with specific purposes in acrylic formation 
and fusion process. This furnace can heat materials in different sized up 
to 600 °C with infrared principles. With this furnace it is easy to form 
acrylic materials and there is no color differences at joining points after 
each process. Also it works with lower energy. They have their own label 
and thanks to their experience in medical sector the company provides 
different solutions to the market needs. Also they can provide technical 
assistance to their clients.",Already on the market,Not available,A Turkish SME from Ankara is looking for distributors for its infrared acrylic furnaces.,Turkey,http://www.tradeaccelerator.co.uk/country-guide/import-export-to-Turkey,Supplier,OP10105,Import,Import-OP10105-Supplier-from-Turkey,BOTR20170622001,Enterprise Europe Network,Alibaba Alternative Supplier from Turkey,Value Unknown
https://www.enterprise-europe.co.uk/opportunities/BOAL20161013002,"Founded in 2010, it is a touristic complex created with the purpose of 
providing services for all ages, with a modern SPA, the only one of its 
kind in Albania, two largest swimming pools and a magnificent playground 
for children. The Albanian Complex offers sauna, Jacuzzi, Turkish Hamah, 
massages treatments, etc. All suites have a modern furnishing, air 
conditioned and balconies overlooking the sea. The suites have also a 
sitting area, dining area and a kitchen with all the necessary accessories 
for long stays. The guests can enjoy the afternoon on bars and in summer 
swimming pool with 40 meter long slides or indoor swimming pool. Offers of 
the Albanian company are: The standard apartments: (50% discount for 
children up to 14 years old) • Accommodation • Parking • Breakfast • Sauna 
• Jacuzzi • Turkish Hamah • Italian Cave • Relaxation of salt • Knapp • 
Swimming Pool The suites apartments: (50% discount for children up to 14 
years old) • Accommodation • Parking • Breakfast • Sauna • Jacuzzi • 
Turkish Hamah • Italian Cave • Relaxation of salt • Knapp • Swimming Pool 
The company is now interested on finding foreign partners, which operate as 
tour operator agencies to be engaged in commercial agency agreement .",Not available,"Founded in 2010, it is a touristic complex created with the purpose of 
providing services for all ages, with a modern SPA, the only one of its 
kind in Albania, two largest swimming pools and a magnificent playground 
for children. The Albanian Complex offers sauna, Jacuzzi, Turkish Hamah, 
massages treatments, etc. All suites have a modern furnishing, air 
conditioned and balconies overlooking the sea. The suites have also a 
sitting area, dining area and a kitchen with all the necessary accessories 
for long stays. The guests can enjoy the afternoon on bars and in summer 
swimming pool with 40 meter long slides or indoor swimming pool. Offers of 
the Albanian company are: The standard apartments: (50% discount for 
children up to 14 years old) • Accommodation • Parking • Breakfast • Sauna 
• Jacuzzi • Turkish Hamah • Italian Cave • Relaxation of salt • Knapp • 
Swimming Pool The suites apartments: (50% discount for children up to 14 
years old) • Accommodation • Parking • Breakfast • Sauna • Jacuzzi • 
Turkish Hamah • Italian Cave • Relaxation of salt • Knapp • Swimming Pool 
The company is now interested on finding foreign partners, which operate as 
tour operator agencies to be engaged in commercial agency agreement .","Because of the wide range of services and luxury accommodation, the Complex 
offers for foreign clients all they need for having nice holidays. Also, by 
having included in the accommodation all accessories needed for long stays, 
it can be suitable enough for the clients.",Already on the market,Secret Know-how,"Foreign tour operators are sought, in order to be engaged in commercial agency agreement with an Albanian company",Albania,http://www.tradeaccelerator.co.uk/country-guide/import-export-to-Albania,Supplier,OP10106,Import,Import-OP10106-Supplier-from-Albania,BOAL20161013002,Enterprise Europe Network,Alibaba Alternative Supplier from Albania,Value Unknown
https://www.enterprise-europe.co.uk/opportunities/BRPL20171020001,"A Polish company driven by ""zero waste"" philosophy is running a store where 
customers can buy products without any packaging (they can come with their 
own boxes/jars or buy glass containers in the store). Main store products 
are cereals, grains, nuts, oils, cosmetics, accessories free of packaging. 
Accessories sold are made of glass and metal, so that they can be reused or 
recycled. The company is looking for: - toothpaste in pills or stick 
without any plastic or other artificial materials packaging; - dental floss 
(natural - silk, cotton, etc.) in glass jars or other non-plastics, 
biodegradable dispencers; - vegan dental floss in glass jars or other 
non-plastics, biodegradable dispencers. Only glass, paper and wood 
packaging is acceptable and deliveries should also generate no waste - 
meaning that collective packaging is being returned to the manufacturer and 
refilled. A company is looking for cooperation based on distribution 
agreement.","Toothpaste pills or toothpaste stick is an organic alternative for 
plastic/artificial non-biodegradable packaging. Product nor it's packaging 
should not contain any plastic, non-reusable and non-biodegradable 
materials. Collective packaging should be returned to the manufacturer and 
filled in again. So that the process generates no waste.","A Polish company driven by ""zero waste"" philosophy is running a store where 
customers can buy products without any packaging (they can come with their 
own boxes/jars or buy glass containers in the store). Main store products 
are cereals, grains, nuts, oils, cosmetics, accessories free of packaging. 
Accessories sold are made of glass and metal, so that they can be reused or 
recycled. The company is looking for: - toothpaste in pills or stick 
without any plastic or other artificial materials packaging; - dental floss 
(natural - silk, cotton, etc.) in glass jars or other non-plastics, 
biodegradable dispencers; - vegan dental floss in glass jars or other 
non-plastics, biodegradable dispencers. Only glass, paper and wood 
packaging is acceptable and deliveries should also generate no waste - 
meaning that collective packaging is being returned to the manufacturer and 
refilled. A company is looking for cooperation based on distribution 
agreement.","The company has opened a first ""zero waste"" store in Wrocław. It is a very 
esthetic store with a very positive philosophy and friendly service.",Already on the market,Not available,"Polish small company launching ""zero waste"" philosophy is looking for toothpaste pills (or stick) and dental floss based on distribution agreement",Poland,http://www.tradeaccelerator.co.uk/country-guide/import-export-to-Poland,Buyer,OP10107,Export,Export-OP10107-Buyer-from-Poland,BRPL20171020001,Enterprise Europe Network,Alibaba Alternative Buyer from Poland,Value Unknown
https://www.enterprise-europe.co.uk/opportunities/BOUA20171012002,"Ukrainian company specializing in the production of groats and wheat flour 
was established in 1992. Today the company takes the leading positions in 
the world agro-sector and well-known on the national market. Company 
produces and exports different kinds of flour, cereals and a vast list of 
grains, pulses and foodstuff. The company supplies peas polished whole and 
split, yellow and green peas unpolished, pearl barley, semolina, wheat 
flour, millet and other products. The capacity of grain mills allow 
processing up to 160 tons of groats per day and 4 000 tons per month. 
Producer has a lot of diplomas, certificates and awards that ensures high 
quality of production. The company exports its products to over 39 
countries. Minimum shipments required - 22 tons / by car or 26 tons/ in sea 
containers. Maximum possible volume of the deliveries - 700 tons. At the 
enterprise are implemented such standards as ISO 9001-2015 and ISO 
22000:2005 The main goal of the company is to broaden the geographical 
coverage that's why it is looking for distribution agreement with the 
partners involved in the agrofood sector on the EU local markets. Producer 
is interested in cooperation with partners that will be responsible for 
selling the company products on the local markets and will inform the 
company about changes of the main tendencies (the market conditions and the 
state of competition).",Not available,"Ukrainian company specializing in the production of groats and wheat flour 
was established in 1992. Today the company takes the leading positions in 
the world agro-sector and well-known on the national market. Company 
produces and exports different kinds of flour, cereals and a vast list of 
grains, pulses and foodstuff. The company supplies peas polished whole and 
split, yellow and green peas unpolished, pearl barley, semolina, wheat 
flour, millet and other products. The capacity of grain mills allow 
processing up to 160 tons of groats per day and 4 000 tons per month. 
Producer has a lot of diplomas, certificates and awards that ensures high 
quality of production. The company exports its products to over 39 
countries. Minimum shipments required - 22 tons / by car or 26 tons/ in sea 
containers. Maximum possible volume of the deliveries - 700 tons. At the 
enterprise are implemented such standards as ISO 9001-2015 and ISO 
22000:2005 The main goal of the company is to broaden the geographical 
coverage that's why it is looking for distribution agreement with the 
partners involved in the agrofood sector on the EU local markets. Producer 
is interested in cooperation with partners that will be responsible for 
selling the company products on the local markets and will inform the 
company about changes of the main tendencies (the market conditions and the 
state of competition).","Great experience in the field of export operations High quality production 
Reasonable and competitive price 25 years of work experience on the 
ukrainian market Leading positions among Ukrainian exporters (milling 
industry products) While processing no chemicals are used",Already on the market,Trade Marks,Ukrainian producer of groats and wheat flour is looking for distributors,Ukraine,http://www.tradeaccelerator.co.uk/country-guide/import-export-to-Ukraine,Supplier,OP10108,Import,Import-OP10108-Supplier-from-Ukraine,BOUA20171012002,Enterprise Europe Network,Alibaba Alternative Supplier from Ukraine,Value Unknown
https://www.enterprise-europe.co.uk/opportunities/BOPT20171006002,"The Portuguese company specialized in chesse, with several brands that have 
been part of the Portuguese food habits for generations produces and 
markets the leading cheese brands in Portugal. The company's business model 
incorporates continuous improvement initiatives to preserve natural 
resources, optimize the nutritional value of its products and increase its 
accessibility and encourage sustainable development in the dairy industry. 
Brands follow the corporate social responsibility approach, reflecting the 
company's commitment to sustainable dairy production and a process of 
continuous improvement for nutrition and reduction of packaging waste. The 
company has three factories in mainland Portugal and two in the Azores, 
where cheese, milk, butter and industrial products such as milk powder and 
whey are produced. The company seeks commercial intermediaries. The aim of 
the planned cooperation is to facilitate the entry of the company into the 
international market with the help of a European partner or outside the EU. 
The company intends to sell its products in the foreign market and that the 
potencial partner help them in the marketing of its products.",Not available,"The Portuguese company specialized in chesse, with several brands that have 
been part of the Portuguese food habits for generations produces and 
markets the leading cheese brands in Portugal. The company's business model 
incorporates continuous improvement initiatives to preserve natural 
resources, optimize the nutritional value of its products and increase its 
accessibility and encourage sustainable development in the dairy industry. 
Brands follow the corporate social responsibility approach, reflecting the 
company's commitment to sustainable dairy production and a process of 
continuous improvement for nutrition and reduction of packaging waste. The 
company has three factories in mainland Portugal and two in the Azores, 
where cheese, milk, butter and industrial products such as milk powder and 
whey are produced. The company seeks commercial intermediaries. The aim of 
the planned cooperation is to facilitate the entry of the company into the 
international market with the help of a European partner or outside the EU. 
The company intends to sell its products in the foreign market and that the 
potencial partner help them in the marketing of its products.","- Leading company in the cheese market in Portugal. - 3 own factories, 
distributed between the Azores and Portugal mainland, which facilitates the 
distribution of the products. - The products are manufactured with regional 
ingredients of the Azores, in the case of certified products. 2015 
-Certification Family Responsible Company (EFR), Fundación Más familia 
(Spain) -Our Heroes Prize - Company of the Year - Solidarity Vision 2016 
-Best Companies to Work for - Exame Magazine 2017 -Excellence Awards in 
Internal Communication - Observatory of Internal Communication and 
Corporate Identity. The company also has an environmental side, where from 
year to year it tries to reduce its environmental footprint. In 6 years it 
has reduced emissions of greenhouse gases, reduction of water consumption, 
reduction of oil consumption. Partnerships: - Portuguese Association of 
Nutritionists - University of Veterinary Medicine of Lisbon - Compassion in 
World Farming world organization - Green Projects Awards - Portuguese 
Association of Business Ethics",Already on the market,Not available,Portuguese company of high quality cheese is looking for a trade intermediary,Portugal,http://www.tradeaccelerator.co.uk/country-guide/import-export-to-Portugal,Supplier,OP10109,Import,Import-OP10109-Supplier-from-Portugal,BOPT20171006002,Enterprise Europe Network,Alibaba Alternative Supplier from Portugal,Value Unknown
https://www.enterprise-europe.co.uk/opportunities/BOTR20171012001,"A Turkish SME from Ankara has been serving for 23 years in the field of 
multi-layer insulation glass under the license of the Turkish leading glass 
manufacturer. The company has 11.000 m² manufacturing capacity monthly and 
132.000 m² yearly. The main products are; multi-layer insulation glass, 
insulation glass with heat and/or solar control (low-e or solar low-e 
coated, filled with dry air or argon gas), safety glass (tempered and/or 
laminated) and decorative glass. The company is willing to become a 
manufacturing partner for PVC, aluminium and wooden door/window profiles 
manufacturers. The company had worked with a French company for 3 years 
under subcontracting agreement before. The company is expecting a long time 
partnership which requires a regular and fixed manufacturing capacity. The 
company is looking for manufacturer partners under manufacturing agreement. 
The company offers to provide manufacturing insulation glass on behalf of 
SMEs which are active in the field of PVC, aluminium and wooden door/window 
profiles or construction/building sectors. The potential partner should 
provide installation service.",Not available,"A Turkish SME from Ankara has been serving for 23 years in the field of 
multi-layer insulation glass under the license of the Turkish leading glass 
manufacturer. The company has 11.000 m² manufacturing capacity monthly and 
132.000 m² yearly. The main products are; multi-layer insulation glass, 
insulation glass with heat and/or solar control (low-e or solar low-e 
coated, filled with dry air or argon gas), safety glass (tempered and/or 
laminated) and decorative glass. The company is willing to become a 
manufacturing partner for PVC, aluminium and wooden door/window profiles 
manufacturers. The company had worked with a French company for 3 years 
under subcontracting agreement before. The company is expecting a long time 
partnership which requires a regular and fixed manufacturing capacity. The 
company is looking for manufacturer partners under manufacturing agreement. 
The company offers to provide manufacturing insulation glass on behalf of 
SMEs which are active in the field of PVC, aluminium and wooden door/window 
profiles or construction/building sectors. The potential partner should 
provide installation service.","The company has ISO 9001:2015 and CE certfication. All the products are 
under the guarantee for 10 years provided by the franchisor company. The 
company has fully automated optimization system, glass cutting line and 
multi-layer insulation glass processing within its facility.",Not available,Not available,A Turkish SME active in manufacturing multi-layer insulation glass is offering manufacturing agreements,Turkey,http://www.tradeaccelerator.co.uk/country-guide/import-export-to-Turkey,Supplier,OP10110,Import,Import-OP10110-Supplier-from-Turkey,BOTR20171012001,Enterprise Europe Network,Alibaba Alternative Supplier from Turkey,Value Unknown
